rank,experiment_id,embedding_model,classifier_type,overlap_proportion,param_details,val_f1,val_precision,val_recall,val_accuracy,runtime_sec,status
53,53,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=16, epochs=500",0.9174,0.8475,1.0000,0.9400,37.29,success
54,55,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=32, epochs=100",0.9174,0.8475,1.0000,0.9400,20.31,success
55,56,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=32, epochs=200",0.9174,0.8475,1.0000,0.9400,22.14,success
56,57,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=32, epochs=500",0.9174,0.8475,1.0000,0.9400,27.60,success
57,59,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=64, epochs=100",0.9174,0.8475,1.0000,0.9400,19.52,success
58,60,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=64, epochs=200",0.9174,0.8475,1.0000,0.9400,20.53,success
59,61,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=64, epochs=500",0.9174,0.8475,1.0000,0.9400,23.58,success
60,62,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=16, epochs=50",0.9174,0.8475,1.0000,0.9400,20.47,success
61,63,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=16, epochs=100",0.9174,0.8475,1.0000,0.9400,22.09,success
62,64,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=16, epochs=200",0.9174,0.8475,1.0000,0.9400,26.42,success
63,65,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=16, epochs=500",0.9174,0.8475,1.0000,0.9400,36.87,success
64,66,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=32, epochs=50",0.9174,0.8475,1.0000,0.9400,19.59,success
65,67,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=32, epochs=100",0.9174,0.8475,1.0000,0.9400,20.38,success
66,68,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=32, epochs=200",0.9174,0.8475,1.0000,0.9400,22.47,success
67,69,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=32, epochs=500",0.9174,0.8475,1.0000,0.9400,27.55,success
68,70,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=64, epochs=50",0.9174,0.8475,1.0000,0.9400,19.04,success
69,71,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=64, epochs=100",0.9174,0.8475,1.0000,0.9400,19.52,success
70,72,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=64, epochs=200",0.9174,0.8475,1.0000,0.9400,20.43,success
71,73,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=64, epochs=500",0.9174,0.8475,1.0000,0.9400,23.24,success
72,74,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=16, epochs=50",0.9174,0.8475,1.0000,0.9400,20.51,success
73,75,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=16, epochs=100",0.9174,0.8475,1.0000,0.9400,22.17,success
74,76,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=16, epochs=200",0.9174,0.8475,1.0000,0.9400,26.62,success
